ID,NOME,CONTINENTE,POPULACAO
1,Brasil,América do Sul,213.317.639
2,Estados Unidos,América do Norte,331.893.745
3,China,Ásia,1.444.216.107
4,Índia,Ásia,1.393.409.038
5,Rússia,Europa/Ásia,145.912.025
6,Japão,Ásia,125.836.021
7,Alemanha,Europa,83.240.525
8,França,Europa,67.348.000
9,Reino Unido,Europa,67.215.293
10,Itália,Europa,59.554.023
11,Canadá,América do Norte,38.389.000
12,México,América do Norte,126.014.024
13,Argentina,América do Sul,45.195.774
14,África do Sul,África,59.308.690
15,Nigéria,África,206.139.587
16,Austrália,Oceania,25.687.041
17,Egito,África,104.258.327
18,Espanha,Europa,47.351.567
19,Turquia,Europa/Ásia,85.319.285
20,Indonésia,Ásia,273.523.621
21,Grécia,Europa,4.353.453
22,Suíça,Europa,685.948
